localTime,remoteTime,label,ibi,bpm,signalOK
1623228106371,2224598,rest,782,83,0
1623228107390,2225406,rest,746,82,0
1623228108396,2226397,rest,908,80,0
1623228109421,2227449,rest,970,80,0
1623228110415,2228477,rest,948,80,1
1623228111421,2229607,rest,1054,80,0
1623228111935,2230395,rest,728,80,0
1623228114462,2232477,rest,1940,67,0
1623228115464,2233748,rest,1166,62,1
1623228116480,2234495,rest,700,60,0
1623228116975,2235039,rest,496,62,0
1623228117482,2235523,rest,444,64,0
1623228117986,2235988,rest,444,67,0
1623228118489,2236674,rest,652,70,0
1623228119519,2237483,rest,758,71,0
1623228120023,2238249,rest,690,74,0
1623228121015,2239037,rest,748,74,1
1623228122532,2240572,rest,1412,79,0
1623228123037,2241481,rest,848,83,0
1623228124550,2242574,rest,1030,79,1
1623228126069,2244511,rest,1808,67,0
1623228128081,2246084,rest,1446,61,1
1623228130106,2248126,rest,1890,53,0
1623228131112,2249356,rest,1136,51,0
1623228131616,2250084,rest,682,51,0
1623228132629,2250911,rest,756,51,0
1623228133641,2251659,rest,700,51,0
1623228134644,2252649,rest,906,53,0
1623228135156,2253236,rest,544,55,0
1623228137676,2255679,rest,2270,49,0
1623228139202,2257214,rest,1408,51,1
1623228139698,2258102,rest,844,53,0
1623228140715,2258749,rest,582,61,0
1623228141226,2259255,rest,464,65,0
1623228141226,2259659,rest,380,67,0
1623228142728,2260749,rest,996,66,0
1623228143732,2262000,rest,1168,62,0
1623228144749,2262766,rest,700,64,0
1623228145773,2263776,rest,932,61,1
1623228146768,2264788,rest,930,71,1
1623228148287,2266325,rest,1418,71,0
1623228150803,2268788,rest,2268,61,0
1623228153330,2271335,rest,2362,51,0
1623228154849,2272889,rest,1418,47,0
1623228156377,2274343,rest,1366,44,0
1623228157372,2275394,rest,958,44,0
1623228158383,2276405,rest,936,45,0
1623228158888,2277234,rest,760,44,0
1623228159900,2277900,rest,622,46,0
1623228160412,2278727,rest,764,46,0
1623228162431,2280464,rest,1600,45,0
1623228163446,2281758,rest,1196,50,0
1623228164466,2282688,rest,838,57,0
1623228164947,2283354,rest,622,62,0
1623228165956,2284162,rest,732,66,0
1623228166466,2284869,rest,654,68,0
1623228167473,2285677,rest,746,70,0
1623228168488,2286485,rest,752,70,1
1623228168993,2287051,rest,512,71,0
1623228169996,2288021,rest,902,70,0
1623228170521,2288830,rest,756,77,0
1623228171534,2289516,rest,644,83,1
1623228172523,2290969,rest,1344,78,0
1623228173539,2291900,rest,846,76,0
1623228175569,2293577,rest,1534,69,0
1623228176566,2294567,rest,922,67,0
1623228177573,2295919,rest,1252,63,1
1623228180606,2298626,rest,2500,53,0
1623228185663,2303675,rest,934,64,0
1623228186661,2304664,rest,920,64,0
1623228188179,2306199,rest,1420,61,0
1623228189187,2307228,rest,954,61,0
1623228191713,2309713,rest,2314,53,0
1623228193247,2311248,rest,1420,51,1
1623228193751,2312177,rest,854,51,0
1623228196256,2314299,rest,1976,47,0
1623228197775,2315774,rest,1348,45,0
1623228198789,2316804,rest,936,45,0
1623228199289,2317571,rest,704,46,0
1623228203325,2321533,rest,494,121,0
1623228204335,2322381,rest,768,115,0
1623228204846,2322885,rest,476,115,0
1623228205348,2323410,rest,476,116,0
1623228205854,2323853,rest,414,117,0
1623228207370,2325390,rest,1414,99,0
1623228208399,2326380,rest,908,93,0
1623228208908,2327087,rest,646,91,0
1623228209391,2327835,rest,694,88,0
1623228210397,2328622,rest,726,85,0
1623228211407,2329409,rest,730,82,0
1623228212423,2330460,rest,978,80,0
1623228214440,2332460,rest,1844,67,0
1623228216456,2334480,rest,1874,58,0
1623228217969,2336255,rest,1646,52,0
1623228219493,2337831,rest,1470,52,0
1623228221002,2339466,rest,1512,49,0
1623228222527,2340556,rest,998,48,0
1623228223041,2341363,rest,746,47,0
