localTime,remoteTime,label,bvp,signalOK
1653730557829,-1598831415,night1,1733,0
1653730557829,-1598836415,night1,1783,0
1653730557829,-1598841415,night1,1756,0
1653730557829,-1598846415,night1,1647,0
1653730557829,-1598851415,night1,1536,0
1653730557829,-1598856415,night1,1526,0
1653730557829,-1598861415,night1,1477,0
1653730557829,-1598866415,night1,1622,0
1653730557829,-1598871415,night1,1512,0
1653730557829,-1598876415,night1,1544,0
1653730557829,-1598881415,night1,1673,0
1653730557829,-1598886415,night1,1545,0
1653730557829,-1598891415,night1,1481,0
1653730557829,-1598896415,night1,1517,0
1653730557829,-1598901415,night1,1669,0
1653730557829,-1598906415,night1,1543,0
1653730557829,-1598911415,night1,1502,0
1653730557829,-1598916415,night1,1525,0
1653730557829,-1598921415,night1,1685,0
1653730557829,-1598926415,night1,1531,0
1653730557829,-1598931415,night1,1540,0
1653730557829,-1598936415,night1,1681,0
1653730557829,-1598941415,night1,1691,0
1653730557829,-1598946415,night1,1507,0
1653730557829,-1598951415,night1,1664,0
1653730557829,-1598956415,night1,1773,0
1653730557829,-1598961415,night1,1661,0
1653730557829,-1598966415,night1,1648,0
1653730557829,-1598971415,night1,1659,0
1653730557829,-1598976415,night1,1745,0
1653730557829,-1598981415,night1,1819,0
1653730557829,-1598986415,night1,1848,0
1653730557829,-1598991415,night1,1790,0
1653730557829,-1598996415,night1,1656,0
1653730557829,-1599001415,night1,1640,0
1653730557829,-1599006415,night1,1675,0
1653730557829,-1599011415,night1,1763,0
1653730557829,-1599016415,night1,1800,0
1653730557829,-1599021415,night1,1675,0
1653730557829,-1599026415,night1,1603,0
1653730557829,-1599031415,night1,1587,0
1653730557829,-1599036415,night1,1578,0
1653730557829,-1599041415,night1,1672,0
1653730557829,-1599046415,night1,1722,0
1653730557829,-1599051415,night1,1625,0
1653730557829,-1599056415,night1,1565,0
1653730557829,-1599061415,night1,1540,0
1653730557829,-1599066415,night1,1535,0
1653730557829,-1599071415,night1,1638,0
1653730557829,-1599076415,night1,1694,0
1653730557829,-1599081415,night1,1711,0
1653730557829,-1599086415,night1,1672,0
1653730557829,-1599091415,night1,1527,0
1653730557829,-1599096415,night1,1518,0
1653730557829,-1599101415,night1,1545,0
1653730557829,-1599106415,night1,1681,0
1653730557829,-1599111415,night1,1712,0
1653730557829,-1599116415,night1,1590,0
1653730557829,-1599121415,night1,1541,0
1653730557829,-1599126415,night1,1544,0
1653730557829,-1599131415,night1,1658,0
1653730557829,-1599136415,night1,1759,0
1653730557829,-1599141415,night1,1638,0
1653730557829,-1599146415,night1,1593,0
1653730557829,-1599151415,night1,1620,0
1653730557829,-1599156415,night1,1779,0
1653730557829,-1599161415,night1,1718,0
1653730557829,-1599166415,night1,1632,0
1653730557829,-1599171415,night1,1768,0
1653730557829,-1599176415,night1,1838,0
1653730557829,-1599181415,night1,1715,0
1653730557829,-1599186415,night1,1706,0
1653730557829,-1599191415,night1,1775,0
1653730557829,-1599196415,night1,1918,0
1653730557829,-1599201415,night1,1929,0
1653730557829,-1599206415,night1,1823,0
1653730557829,-1599211415,night1,1777,0
1653730557829,-1599216415,night1,1776,0
1653730557829,-1599221415,night1,1841,0
1653730557829,-1599226415,night1,1962,0
1653730557829,-1599231415,night1,1970,0
1653730557829,-1599236415,night1,1945,0
1653730557829,-1599241415,night1,1837,0
1653730557829,-1599246415,night1,1759,0
1653730557829,-1599251415,night1,1755,0
1653730557829,-1599256415,night1,1784,0
1653730557829,-1599261415,night1,1857,0
1653730557829,-1599266415,night1,1910,0
1653730557829,-1599271415,night1,1899,0
1653730557829,-1599276415,night1,1788,0
1653730557829,-1599281415,night1,1727,0
1653730557829,-1599286415,night1,1678,0
1653730557829,-1599291415,night1,1668,0
1653730557829,-1599296415,night1,1712,0
1653730557829,-1599301415,night1,1796,0
1653730557829,-1599306415,night1,1836,0
1653730557829,-1599311415,night1,1714,0
1653730557829,-1599316415,night1,1639,0
1653730557829,-1599321415,night1,1625,0
1653730557829,-1599326415,night1,1636,0
1653730558324,-1598331419,night1,1709,0
1653730558324,-1598336419,night1,1799,0
1653730558324,-1598341419,night1,1728,0
1653730558324,-1598346419,night1,1626,0
1653730558324,-1598351419,night1,1600,0
1653730558324,-1598356419,night1,1598,0
1653730558324,-1598361419,night1,1704,0
1653730558324,-1598366419,night1,1776,0
1653730558324,-1598371419,night1,1710,0
1653730558324,-1598376419,night1,1602,0
1653730558324,-1598381419,night1,1616,0
1653730558324,-1598386419,night1,1480,0
1653730558324,-1598391419,night1,1540,0
1653730558324,-1598396419,night1,1632,0
1653730558324,-1598401419,night1,1484,0
1653730558324,-1598406419,night1,1449,0
1653730558324,-1598411419,night1,1591,0
1653730558324,-1598416419,night1,1615,0
1653730558324,-1598421419,night1,1463,0
1653730558324,-1598426419,night1,1460,0
1653730558324,-1598431419,night1,1617,0
1653730558324,-1598436419,night1,1494,0
1653730558324,-1598441419,night1,1565,0
1653730558324,-1598446419,night1,1624,0
1653730558324,-1598451419,night1,1526,0
1653730558324,-1598456419,night1,1481,0
1653730558324,-1598461419,night1,1609,0
1653730558324,-1598466419,night1,1706,0
1653730558324,-1598471419,night1,1548,0
1653730558324,-1598476419,night1,1793,0
1653730558324,-1598481419,night1,1631,0
1653730558324,-1598486419,night1,1745,0
1653730558324,-1598491419,night1,1620,0
1653730558324,-1598496419,night1,1819,0
1653730558324,-1598501419,night1,1870,0
1653730558324,-1598506419,night1,1702,0
1653730558324,-1598511419,night1,1696,0
1653730558324,-1598516419,night1,1725,0
1653730558324,-1598521419,night1,1830,0
1653730558324,-1598526419,night1,1858,0
1653730558324,-1598531419,night1,1801,0
1653730558324,-1598536419,night1,1711,0
1653730558324,-1598541419,night1,1656,0
1653730558324,-1598546419,night1,1643,0
1653730558324,-1598551419,night1,1647,0
1653730558324,-1598556419,night1,1782,0
1653730558324,-1598561419,night1,1794,0
1653730558324,-1598566419,night1,1686,0
1653730558324,-1598571419,night1,1592,0
1653730558324,-1598576419,night1,1576,0
1653730558324,-1598581419,night1,1606,0
1653730558324,-1598586419,night1,1714,0
1653730558324,-1598591419,night1,1733,0
1653730558324,-1598596419,night1,1702,0
1653730558324,-1598601419,night1,1555,0
1653730558324,-1598606419,night1,1532,0
1653730558324,-1598611419,night1,1521,0
1653730558324,-1598616419,night1,1583,0
1653730558324,-1598621419,night1,1686,0
1653730558324,-1598626419,night1,1685,0
1653730558324,-1598631419,night1,1585,0
1653730558324,-1598636419,night1,1520,0
1653730558324,-1598641419,night1,1511,0
1653730558324,-1598646419,night1,1537,0
1653730558324,-1598651419,night1,1650,0
1653730558324,-1598656419,night1,1700,0
1653730558324,-1598661419,night1,1652,0
1653730558324,-1598666419,night1,1523,0
1653730558324,-1598671419,night1,1511,0
1653730558324,-1598676419,night1,1523,0
1653730558324,-1598681419,night1,1637,0
1653730558324,-1598686419,night1,1703,0
1653730558324,-1598691419,night1,1565,0
1653730558324,-1598696419,night1,1518,0
1653730558324,-1598701419,night1,1514,0
1653730558324,-1598706419,night1,1608,0
1653730558324,-1598711419,night1,1699,0
1653730558324,-1598716419,night1,1665,0
1653730558324,-1598721419,night1,1556,0
1653730558324,-1598726419,night1,1527,0
1653730558324,-1598731419,night1,1524,0
1653730558324,-1598736419,night1,1636,0
1653730558324,-1598741419,night1,1716,0
1653730558324,-1598746419,night1,1676,0
1653730558324,-1598751419,night1,1552,0
1653730558324,-1598756419,night1,1534,0
1653730558324,-1598761419,night1,1534,0
1653730558324,-1598766419,night1,1597,0
1653730558324,-1598771419,night1,1710,0
1653730558324,-1598776419,night1,1718,0
1653730558324,-1598781419,night1,1584,0
1653730558324,-1598786419,night1,1526,0
1653730558324,-1598791419,night1,1477,0
1653730558324,-1598796419,night1,1609,0
1653730558324,-1598801419,night1,1487,0
1653730558324,-1598806419,night1,1526,0
1653730558324,-1598811419,night1,1709,0
1653730558324,-1598816419,night1,1755,0
1653730558324,-1598821419,night1,1637,0
1653730558324,-1598826419,night1,1612,0
1653730558836,-1597831478,night1,1659,0
1653730558836,-1597836478,night1,1803,0
1653730558836,-1597841478,night1,1846,0
1653730558836,-1597846478,night1,1685,0
1653730558836,-1597851478,night1,1691,0
1653730558836,-1597856478,night1,1762,0
1653730558836,-1597861478,night1,1899,0
1653730558836,-1597866478,night1,1917,0
1653730558836,-1597871478,night1,1802,0
1653730558836,-1597876478,night1,1809,0
1653730558836,-1597881478,night1,1824,0
1653730558836,-1597886478,night1,1710,0
1653730558836,-1597891478,night1,1807,0
1653730558836,-1597896478,night1,1676,0
1653730558836,-1597901478,night1,1806,0
1653730558836,-1597906478,night1,1740,0
1653730558836,-1597911478,night1,1810,0
1653730558836,-1597916478,night1,1663,0
1653730558836,-1597921478,night1,1664,0
1653730558836,-1597926478,night1,1820,0
1653730558836,-1597931478,night1,1730,0
1653730558836,-1597936478,night1,1804,0
1653730558836,-1597941478,night1,1681,0
1653730558836,-1597946478,night1,1811,0
1653730558836,-1597951478,night1,1736,0
1653730558836,-1597956478,night1,1730,0
1653730558836,-1597961478,night1,1747,0
1653730558836,-1597966478,night1,1925,0
1653730558836,-1597971478,night1,1909,0
1653730558836,-1597976478,night1,1839,0
1653730558836,-1597981478,night1,1742,0
1653730558836,-1597986478,night1,1707,0
1653730558836,-1597991478,night1,1709,0
1653730558836,-1597996478,night1,1774,0
1653730558836,-1598001478,night1,1838,0
1653730558836,-1598006478,night1,1850,0
1653730558836,-1598011478,night1,1799,0
1653730558836,-1598016478,night1,1682,0
1653730558836,-1598021478,night1,1630,0
1653730558836,-1598026478,night1,1612,0
1653730558836,-1598031478,night1,1641,0
1653730558836,-1598036478,night1,1743,0
1653730558836,-1598041478,night1,1773,0
1653730558836,-1598046478,night1,1627,0
1653730558836,-1598051478,night1,1574,0
1653730558836,-1598056478,night1,1554,0
1653730558836,-1598061478,night1,1618,0
